project_id,project_name,event,official_url,repo_url,live_demo_url,team_note,team_members,team_source_status,access_date
dive-5hxbp,DIVE,ETHGlobal Cannes 2026,https://ethglobal.com/showcase/dive-5hxbp,https://github.com/derek2403/cannes2026,https://github.com/derek2403/cannes2026,teams/dive-5hxbp,unresolved,public ETHGlobal payload did not expose team member names in this extraction,2026-06-22
veil-vpn-c643n,VEIL VPN,ETHGlobal Cannes 2026,https://ethglobal.com/showcase/veil-vpn-c643n,https://github.com/itublockchain/veil-vpn,https://github.com/itublockchain/veil-vpn,teams/veil-vpn-c643n,unresolved,public ETHGlobal payload did not expose team member names in this extraction,2026-06-22
enshell-6t95y,ENShell,ETHGlobal Cannes 2026,https://ethglobal.com/showcase/enshell-6t95y,https://github.com/0xenshell/contract,https://github.com/0xenshell/contract,teams/enshell-6t95y,unresolved,public ETHGlobal payload did not expose team member names in this extraction,2026-06-22
proof-of-human-1cg2d,Proof-of-Human,ETHGlobal New York 2026,https://ethglobal.com/showcase/proof-of-human-1cg2d,https://github.com/JackREscowitz/Proof-Of-Human-Drops,https://github.com/JackREscowitz/Proof-Of-Human-Drops,teams/proof-of-human-1cg2d,unresolved,public ETHGlobal payload did not expose team member names in this extraction,2026-06-22
nyx-prk3o,Nyx,ETHGlobal New York 2026,https://ethglobal.com/showcase/nyx-prk3o,https://github.com/ybapat/ethny26,https://github.com/ybapat/ethny26,teams/nyx-prk3o,unresolved,public ETHGlobal payload did not expose team member names in this extraction,2026-06-22
agentranker-0mo6w,AgentRanker,ETHGlobal New York 2026,https://ethglobal.com/showcase/agentranker-0mo6w,https://github.com/Hitakshi02/AgentRank,https://github.com/Hitakshi02/AgentRank,teams/agentranker-0mo6w,unresolved,public ETHGlobal payload did not expose team member names in this extraction,2026-06-22
azimuth-7w256,Azimuth,ETHGlobal New York 2026,https://ethglobal.com/showcase/azimuth-7w256,https://github.com/vaibhav-vemula/azimuth,https://github.com/vaibhav-vemula/azimuth,teams/azimuth-7w256,unresolved,public ETHGlobal payload did not expose team member names in this extraction,2026-06-22
clawback-vpmw2,Clawback,ETHGlobal New York 2026,https://ethglobal.com/showcase/clawback-vpmw2,https://github.com/EdwardJXLi/Clawback,https://github.com/EdwardJXLi/Clawback,teams/clawback-vpmw2,unresolved,public ETHGlobal payload did not expose team member names in this extraction,2026-06-22
veryclear-vu8i7,Veryclear,ETHGlobal Cannes 2026,https://ethglobal.com/showcase/veryclear-vu8i7,https://github.com/lfglabs-dev/explain.md,https://github.com/lfglabs-dev/explain.md,teams/veryclear-vu8i7,unresolved,public ETHGlobal payload did not expose team member names in this extraction,2026-06-22
smile-fictr,Smile,ETHGlobal New York 2026,https://ethglobal.com/showcase/smile-fictr,https://github.com/oslinin/Smile,https://github.com/oslinin/Smile,teams/smile-fictr,unresolved,public ETHGlobal payload did not expose team member names in this extraction,2026-06-22
